cellID,AFAP1,AFF4,AGAP1,AGO3,AGPS,AHDC1,AKAP11,ALPK2,AMOTL1,ANKH,ANKRD52,ARL10,ASCC3,BRCA2,BSN,BUB3,Blank-1,Blank-10,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,C14orf132,C17orf51,CBL,CBX5,CCDC113,CDYL2,CEMIP,CENPF,CEP250,CHST3,CKAP5,CNR2,COL5A1,CREBBP,CRTAP,DIEXF,DIP2B,DNAJC13,DOPEY1,DSEL,DYNC1H1,EGFR,FAF2,FAM184B,FAM208B,FASN,FBN1,FBN2,FYCO1,FZD4,FZD5,GPR107,GTF3C4,HEATR5B,HERC2,IGF2R,IL17RA,ITPR2,KIAA1147,KIAA1462,KIF13B,KLHL9,KPNA4,LMTK2,LRP1,LUZP1,MALAT1,MAN1A2,MCF2L,MED14,MYH10,NHSL2,NKTR,NOTCH2,NRIP1,PAPPA,PHIP,PIK3CA,PLXNA1,PLXNA2,POLQ,PRDM2,PRKCA,PRKDC,PROSER1,PRPF8,PRRC2B,PTPN14,RAB3B,RAD51D,RBM20,RNF152,RNF169,RP4-671O14.6,SAMD12,SCUBE3,SIPA1L3,SKP1,SLC35B4,SLC38A1,SLC5A3,SLC7A11,SLC9A2,SMARCA5,SMIM5,SOD2,SPTBN1,SRRM2,SSH1,STARD9,SULT1C2,THBS1,THSD4,TLN1,TMOD2,TNRC6A,TPR,TSPAN3,TSTD2,TTPAL,UBR2,UBR5,UMPS,USP24,USP34,USP8,USP9X,VPS13D,XDH,XKR5,YIPF4,ZBTB43,ZCCHC6,ZNF592
17965,5.0,30.0,16.0,12.0,12.0,23.0,20.0,10.0,27.0,8.0,31.0,10.0,10.0,6.0,5.0,8.0,7.0,11.0,4.0,6.0,7.0,4.0,3.0,1.0,4.0,6.0,9.0,3.0,13.0,15.0,9.0,11.0,11.0,35.0,10.0,18.0,12.0,10.0,22.0,34.0,15.0,7.0,23.0,17.0,16.0,9.0,28.0,8.0,6.0,7.0,11.0,38.0,8.0,50.0,10.0,12.0,5.0,14.0,17.0,11.0,17.0,9.0,6.0,8.0,13.0,9.0,11.0,16.0,8.0,19.0,19.0,25.0,97.0,11.0,9.0,13.0,30.0,6.0,21.0,20.0,7.0,8.0,8.0,7.0,28.0,3.0,13.0,28.0,22.0,42.0,15.0,31.0,20.0,14.0,7.0,9.0,6.0,5.0,12.0,10.0,4.0,5.0,12.0,5.0,4.0,15.0,17.0,14.0,5.0,18.0,8.0,12.0,40.0,55.0,10.0,17.0,9.0,71.0,4.0,66.0,5.0,17.0,22.0,8.0,13.0,13.0,9.0,26.0,5.0,7.0,28.0,6.0,19.0,8.0,5.0,6.0,8.0,10.0,18.0,24.0
17966,0.0,9.0,8.0,4.0,6.0,7.0,5.0,4.0,7.0,2.0,12.0,0.0,4.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,13.0,2.0,4.0,4.0,29.0,0.0,11.0,7.0,2.0,5.0,9.0,4.0,3.0,9.0,2.0,2.0,1.0,14.0,3.0,3.0,4.0,3.0,17.0,3.0,14.0,3.0,4.0,2.0,6.0,4.0,4.0,8.0,5.0,1.0,2.0,10.0,2.0,3.0,2.0,2.0,5.0,4.0,2.0,41.0,2.0,2.0,5.0,13.0,0.0,11.0,6.0,3.0,1.0,5.0,4.0,8.0,3.0,3.0,10.0,10.0,18.0,5.0,14.0,13.0,8.0,3.0,4.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,3.0,3.0,7.0,11.0,4.0,0.0,6.0,3.0,2.0,15.0,12.0,2.0,3.0,2.0,14.0,1.0,19.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,17.0,3.0,3.0,6.0,1.0,8.0,4.0,2.0,3.0,5.0,2.0,0.0,6.0
17967,9.0,27.0,10.0,12.0,13.0,7.0,18.0,12.0,21.0,11.0,30.0,11.0,7.0,9.0,6.0,6.0,3.0,8.0,9.0,5.0,5.0,8.0,5.0,2.0,6.0,6.0,6.0,7.0,19.0,6.0,5.0,9.0,8.0,2.0,7.0,29.0,11.0,8.0,19.0,23.0,3.0,6.0,12.0,8.0,1.0,5.0,31.0,8.0,13.0,6.0,10.0,25.0,7.0,26.0,8.0,8.0,7.0,13.0,11.0,3.0,13.0,9.0,5.0,6.0,15.0,9.0,11.0,5.0,9.0,20.0,27.0,9.0,208.0,5.0,2.0,9.0,20.0,0.0,18.0,17.0,1.0,10.0,10.0,4.0,10.0,8.0,3.0,22.0,5.0,26.0,14.0,8.0,12.0,15.0,6.0,10.0,3.0,6.0,7.0,6.0,5.0,9.0,9.0,2.0,7.0,14.0,5.0,5.0,6.0,22.0,13.0,7.0,36.0,33.0,12.0,9.0,2.0,18.0,4.0,42.0,2.0,8.0,9.0,7.0,8.0,7.0,2.0,14.0,5.0,13.0,13.0,6.0,20.0,7.0,12.0,3.0,12.0,11.0,13.0,3.0
17968,12.0,29.0,13.0,5.0,16.0,15.0,17.0,15.0,43.0,4.0,27.0,7.0,14.0,5.0,6.0,17.0,4.0,12.0,4.0,2.0,10.0,6.0,13.0,7.0,1.0,1.0,10.0,5.0,21.0,26.0,5.0,12.0,7.0,13.0,10.0,20.0,19.0,6.0,31.0,21.0,11.0,3.0,22.0,17.0,3.0,9.0,36.0,3.0,12.0,8.0,17.0,36.0,8.0,47.0,9.0,12.0,8.0,23.0,17.0,9.0,24.0,11.0,6.0,7.0,16.0,11.0,10.0,11.0,15.0,10.0,10.0,12.0,72.0,10.0,5.0,8.0,19.0,7.0,15.0,26.0,14.0,9.0,8.0,9.0,19.0,9.0,4.0,17.0,19.0,29.0,5.0,33.0,25.0,13.0,10.0,8.0,5.0,7.0,12.0,7.0,7.0,11.0,10.0,6.0,6.0,9.0,9.0,7.0,6.0,25.0,14.0,15.0,44.0,35.0,21.0,9.0,8.0,51.0,14.0,69.0,3.0,18.0,15.0,12.0,4.0,19.0,8.0,23.0,4.0,12.0,27.0,6.0,22.0,11.0,9.0,9.0,11.0,6.0,10.0,13.0
17969,5.0,14.0,12.0,5.0,9.0,15.0,13.0,11.0,19.0,5.0,28.0,8.0,6.0,7.0,2.0,6.0,5.0,3.0,2.0,3.0,3.0,5.0,8.0,2.0,6.0,2.0,9.0,4.0,10.0,27.0,6.0,10.0,5.0,10.0,7.0,15.0,14.0,9.0,24.0,18.0,15.0,3.0,17.0,8.0,4.0,4.0,18.0,6.0,9.0,8.0,12.0,16.0,6.0,18.0,8.0,10.0,8.0,10.0,11.0,9.0,13.0,8.0,9.0,6.0,6.0,8.0,9.0,4.0,10.0,9.0,11.0,8.0,92.0,5.0,4.0,9.0,20.0,7.0,5.0,9.0,4.0,4.0,7.0,7.0,14.0,3.0,7.0,6.0,25.0,36.0,10.0,23.0,18.0,8.0,9.0,7.0,3.0,8.0,9.0,4.0,2.0,6.0,10.0,1.0,3.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,29.0,24.0,4.0,9.0,3.0,86.0,7.0,31.0,5.0,3.0,11.0,4.0,9.0,7.0,6.0,17.0,6.0,7.0,19.0,4.0,12.0,11.0,6.0,4.0,6.0,10.0,14.0,15.0
17970,3.0,14.0,16.0,4.0,10.0,10.0,14.0,7.0,16.0,6.0,18.0,9.0,3.0,7.0,6.0,7.0,4.0,6.0,3.0,1.0,5.0,4.0,6.0,3.0,3.0,5.0,4.0,10.0,10.0,8.0,8.0,4.0,5.0,6.0,6.0,11.0,4.0,1.0,22.0,16.0,7.0,10.0,11.0,3.0,3.0,3.0,19.0,4.0,3.0,8.0,4.0,37.0,8.0,20.0,8.0,16.0,4.0,11.0,4.0,8.0,10.0,8.0,4.0,6.0,7.0,4.0,5.0,9.0,10.0,4.0,16.0,10.0,72.0,9.0,3.0,8.0,18.0,4.0,8.0,14.0,7.0,9.0,3.0,5.0,15.0,8.0,7.0,9.0,15.0,12.0,8.0,21.0,16.0,10.0,6.0,8.0,2.0,7.0,10.0,5.0,11.0,11.0,9.0,4.0,2.0,7.0,6.0,8.0,2.0,12.0,5.0,5.0,22.0,27.0,6.0,6.0,4.0,38.0,7.0,31.0,2.0,7.0,14.0,5.0,5.0,8.0,8.0,17.0,7.0,8.0,11.0,4.0,10.0,9.0,6.0,3.0,7.0,9.0,12.0,7.0
17971,8.0,14.0,11.0,6.0,9.0,12.0,11.0,4.0,8.0,5.0,19.0,5.0,7.0,5.0,4.0,7.0,1.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,4.0,4.0,5.0,2.0,8.0,15.0,6.0,10.0,6.0,38.0,5.0,15.0,20.0,6.0,14.0,26.0,16.0,5.0,8.0,11.0,5.0,4.0,15.0,5.0,11.0,7.0,12.0,40.0,4.0,26.0,8.0,4.0,4.0,16.0,13.0,15.0,17.0,9.0,10.0,2.0,8.0,9.0,8.0,4.0,6.0,10.0,10.0,7.0,116.0,6.0,2.0,11.0,25.0,4.0,13.0,15.0,4.0,9.0,9.0,5.0,13.0,6.0,12.0,10.0,28.0,30.0,13.0,27.0,17.0,14.0,4.0,7.0,4.0,4.0,11.0,3.0,1.0,8.0,5.0,8.0,6.0,1.0,5.0,6.0,3.0,13.0,2.0,3.0,24.0,36.0,3.0,5.0,3.0,36.0,4.0,37.0,5.0,10.0,20.0,11.0,8.0,8.0,5.0,11.0,7.0,11.0,14.0,2.0,16.0,8.0,3.0,6.0,5.0,5.0,14.0,14.0
17972,3.0,13.0,14.0,3.0,8.0,12.0,7.0,4.0,11.0,4.0,20.0,4.0,5.0,8.0,9.0,3.0,9.0,11.0,2.0,2.0,1.0,5.0,8.0,7.0,5.0,4.0,6.0,4.0,6.0,19.0,7.0,12.0,2.0,11.0,7.0,11.0,8.0,13.0,22.0,19.0,8.0,5.0,11.0,11.0,3.0,4.0,19.0,7.0,11.0,6.0,9.0,23.0,7.0,14.0,5.0,11.0,2.0,12.0,14.0,6.0,16.0,7.0,10.0,5.0,8.0,5.0,5.0,8.0,7.0,5.0,8.0,10.0,116.0,10.0,3.0,9.0,20.0,5.0,8.0,12.0,6.0,8.0,5.0,4.0,10.0,7.0,9.0,11.0,17.0,33.0,7.0,22.0,15.0,9.0,8.0,6.0,4.0,4.0,17.0,5.0,7.0,5.0,4.0,5.0,3.0,4.0,10.0,9.0,6.0,12.0,5.0,9.0,28.0,20.0,7.0,6.0,7.0,12.0,11.0,41.0,5.0,17.0,13.0,9.0,11.0,8.0,6.0,7.0,6.0,11.0,28.0,3.0,9.0,5.0,11.0,7.0,7.0,7.0,8.0,10.0
17973,16.0,14.0,17.0,10.0,14.0,21.0,13.0,8.0,24.0,7.0,22.0,6.0,9.0,3.0,3.0,10.0,10.0,3.0,6.0,6.0,7.0,10.0,3.0,6.0,6.0,2.0,5.0,9.0,16.0,27.0,4.0,10.0,4.0,41.0,5.0,26.0,30.0,8.0,16.0,27.0,15.0,4.0,21.0,10.0,6.0,9.0,28.0,11.0,4.0,8.0,9.0,51.0,6.0,23.0,7.0,8.0,9.0,15.0,17.0,2.0,27.0,6.0,11.0,3.0,5.0,8.0,5.0,4.0,14.0,7.0,12.0,8.0,97.0,18.0,4.0,7.0,34.0,5.0,14.0,10.0,12.0,3.0,5.0,6.0,15.0,5.0,5.0,20.0,14.0,49.0,11.0,28.0,16.0,14.0,8.0,9.0,12.0,7.0,11.0,5.0,5.0,8.0,8.0,4.0,6.0,8.0,7.0,9.0,5.0,16.0,5.0,6.0,39.0,30.0,4.0,7.0,5.0,95.0,3.0,49.0,2.0,13.0,12.0,9.0,7.0,9.0,4.0,12.0,3.0,8.0,23.0,2.0,15.0,8.0,4.0,11.0,7.0,8.0,10.0,20.0
17974,12.0,9.0,15.0,6.0,14.0,10.0,9.0,9.0,28.0,7.0,15.0,7.0,12.0,4.0,6.0,9.0,3.0,11.0,4.0,3.0,1.0,4.0,4.0,6.0,2.0,5.0,12.0,8.0,15.0,27.0,5.0,13.0,9.0,26.0,11.0,22.0,19.0,15.0,21.0,26.0,8.0,7.0,15.0,11.0,5.0,9.0,22.0,12.0,13.0,10.0,15.0,49.0,11.0,32.0,5.0,9.0,12.0,8.0,16.0,14.0,14.0,6.0,8.0,13.0,14.0,8.0,17.0,6.0,9.0,15.0,8.0,13.0,95.0,13.0,3.0,6.0,29.0,10.0,9.0,13.0,16.0,7.0,15.0,4.0,17.0,4.0,12.0,12.0,18.0,58.0,9.0,30.0,18.0,21.0,8.0,5.0,13.0,8.0,11.0,6.0,10.0,7.0,7.0,6.0,6.0,4.0,13.0,11.0,6.0,20.0,10.0,17.0,24.0,45.0,10.0,9.0,8.0,43.0,6.0,36.0,4.0,13.0,14.0,12.0,5.0,11.0,9.0,23.0,7.0,15.0,15.0,4.0,27.0,12.0,15.0,10.0,11.0,13.0,19.0,27.0
17975,6.0,14.0,13.0,11.0,10.0,11.0,6.0,13.0,10.0,7.0,16.0,6.0,8.0,8.0,3.0,3.0,4.0,5.0,3.0,0.0,2.0,5.0,3.0,2.0,0.0,2.0,13.0,2.0,14.0,13.0,7.0,8.0,4.0,7.0,9.0,13.0,7.0,4.0,20.0,12.0,12.0,6.0,10.0,7.0,5.0,4.0,20.0,6.0,10.0,13.0,9.0,25.0,4.0,20.0,9.0,16.0,8.0,9.0,9.0,6.0,12.0,5.0,8.0,3.0,4.0,3.0,3.0,6.0,8.0,9.0,8.0,8.0,56.0,10.0,3.0,6.0,21.0,9.0,13.0,15.0,6.0,0.0,4.0,5.0,7.0,4.0,6.0,8.0,11.0,28.0,5.0,27.0,15.0,16.0,2.0,9.0,3.0,5.0,9.0,5.0,5.0,5.0,6.0,9.0,2.0,4.0,6.0,10.0,3.0,13.0,3.0,8.0,22.0,28.0,6.0,9.0,6.0,40.0,6.0,35.0,2.0,9.0,12.0,1.0,3.0,7.0,7.0,13.0,4.0,7.0,23.0,4.0,15.0,6.0,10.0,2.0,4.0,4.0,10.0,10.0
17976,13.0,18.0,19.0,8.0,7.0,19.0,13.0,6.0,10.0,6.0,16.0,13.0,10.0,9.0,7.0,10.0,5.0,7.0,8.0,5.0,11.0,8.0,10.0,9.0,3.0,7.0,14.0,4.0,17.0,14.0,7.0,13.0,11.0,8.0,6.0,12.0,15.0,6.0,13.0,26.0,13.0,6.0,21.0,8.0,6.0,8.0,22.0,6.0,12.0,7.0,9.0,16.0,8.0,32.0,7.0,12.0,5.0,18.0,9.0,3.0,10.0,11.0,9.0,3.0,17.0,8.0,7.0,6.0,10.0,14.0,21.0,9.0,98.0,13.0,5.0,15.0,19.0,8.0,12.0,16.0,10.0,8.0,10.0,4.0,14.0,3.0,4.0,13.0,8.0,21.0,10.0,29.0,17.0,20.0,10.0,9.0,10.0,17.0,16.0,7.0,4.0,11.0,7.0,5.0,2.0,8.0,8.0,9.0,3.0,17.0,8.0,8.0,36.0,33.0,10.0,12.0,6.0,36.0,1.0,39.0,8.0,10.0,13.0,8.0,4.0,8.0,4.0,19.0,7.0,7.0,22.0,9.0,18.0,10.0,16.0,4.0,8.0,9.0,9.0,8.0
17977,5.0,16.0,14.0,6.0,8.0,12.0,6.0,2.0,21.0,2.0,11.0,4.0,5.0,1.0,7.0,10.0,5.0,3.0,6.0,0.0,4.0,1.0,11.0,5.0,0.0,4.0,6.0,5.0,13.0,18.0,9.0,6.0,2.0,7.0,4.0,14.0,6.0,2.0,13.0,21.0,13.0,2.0,13.0,5.0,6.0,5.0,17.0,6.0,6.0,7.0,6.0,18.0,9.0,22.0,2.0,12.0,1.0,9.0,11.0,4.0,13.0,5.0,7.0,8.0,9.0,9.0,7.0,7.0,5.0,11.0,11.0,3.0,89.0,8.0,7.0,12.0,19.0,9.0,10.0,10.0,2.0,7.0,2.0,9.0,7.0,4.0,9.0,16.0,5.0,19.0,4.0,22.0,10.0,9.0,5.0,6.0,4.0,5.0,7.0,4.0,4.0,6.0,6.0,2.0,5.0,1.0,1.0,5.0,2.0,13.0,4.0,4.0,16.0,28.0,8.0,5.0,5.0,18.0,8.0,33.0,6.0,10.0,7.0,7.0,5.0,9.0,4.0,15.0,3.0,2.0,23.0,4.0,14.0,7.0,7.0,3.0,6.0,4.0,9.0,10.0
17978,5.0,5.0,17.0,6.0,6.0,5.0,4.0,3.0,9.0,7.0,9.0,6.0,8.0,3.0,2.0,4.0,4.0,6.0,2.0,5.0,2.0,8.0,6.0,2.0,5.0,3.0,5.0,5.0,3.0,19.0,5.0,4.0,4.0,4.0,3.0,6.0,10.0,4.0,12.0,11.0,6.0,3.0,9.0,4.0,3.0,1.0,11.0,1.0,5.0,6.0,8.0,27.0,2.0,7.0,4.0,8.0,6.0,7.0,3.0,4.0,7.0,3.0,3.0,3.0,4.0,1.0,10.0,4.0,7.0,12.0,6.0,8.0,49.0,8.0,2.0,5.0,15.0,6.0,2.0,5.0,7.0,7.0,6.0,5.0,5.0,4.0,3.0,5.0,7.0,26.0,5.0,10.0,12.0,17.0,7.0,7.0,1.0,7.0,7.0,4.0,4.0,8.0,4.0,1.0,1.0,0.0,5.0,6.0,3.0,9.0,2.0,2.0,26.0,12.0,8.0,3.0,1.0,13.0,4.0,30.0,2.0,6.0,11.0,5.0,1.0,5.0,6.0,9.0,3.0,3.0,15.0,1.0,10.0,3.0,3.0,5.0,4.0,3.0,11.0,9.0
17979,1.0,7.0,10.0,6.0,4.0,8.0,3.0,5.0,4.0,0.0,7.0,7.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,6.0,9.0,10.0,6.0,2.0,5.0,5.0,0.0,9.0,5.0,6.0,7.0,11.0,6.0,4.0,5.0,6.0,2.0,3.0,11.0,5.0,3.0,3.0,4.0,19.0,8.0,12.0,2.0,6.0,6.0,5.0,6.0,3.0,6.0,0.0,5.0,1.0,7.0,1.0,4.0,4.0,2.0,6.0,6.0,3.0,54.0,3.0,1.0,2.0,10.0,0.0,3.0,6.0,4.0,5.0,0.0,2.0,8.0,2.0,5.0,5.0,2.0,10.0,4.0,9.0,8.0,17.0,5.0,2.0,2.0,3.0,7.0,2.0,6.0,6.0,6.0,2.0,2.0,2.0,3.0,0.0,1.0,7.0,2.0,6.0,12.0,13.0,1.0,5.0,2.0,12.0,2.0,13.0,2.0,5.0,3.0,2.0,4.0,5.0,1.0,6.0,2.0,7.0,13.0,0.0,7.0,6.0,3.0,0.0,7.0,4.0,6.0,5.0
17980,3.0,17.0,13.0,4.0,7.0,15.0,6.0,2.0,9.0,3.0,8.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,6.0,2.0,1.0,4.0,6.0,6.0,6.0,9.0,3.0,8.0,4.0,11.0,5.0,10.0,9.0,5.0,18.0,19.0,10.0,3.0,5.0,7.0,2.0,5.0,15.0,3.0,7.0,5.0,4.0,20.0,2.0,10.0,2.0,11.0,0.0,7.0,7.0,3.0,6.0,8.0,3.0,3.0,5.0,1.0,7.0,2.0,6.0,11.0,8.0,8.0,46.0,7.0,1.0,6.0,17.0,3.0,5.0,5.0,7.0,4.0,2.0,4.0,9.0,6.0,4.0,10.0,4.0,22.0,5.0,17.0,17.0,12.0,1.0,5.0,6.0,1.0,12.0,5.0,5.0,2.0,4.0,2.0,4.0,1.0,2.0,7.0,4.0,13.0,5.0,5.0,24.0,21.0,8.0,2.0,2.0,14.0,3.0,26.0,1.0,12.0,14.0,4.0,6.0,5.0,5.0,6.0,6.0,7.0,16.0,1.0,14.0,6.0,8.0,4.0,7.0,0.0,6.0,8.0
17981,7.0,6.0,15.0,8.0,3.0,18.0,8.0,5.0,11.0,4.0,8.0,2.0,9.0,6.0,6.0,6.0,7.0,3.0,5.0,4.0,5.0,6.0,5.0,2.0,2.0,6.0,4.0,6.0,8.0,15.0,3.0,9.0,4.0,26.0,7.0,26.0,11.0,7.0,14.0,19.0,4.0,6.0,6.0,5.0,9.0,3.0,12.0,12.0,8.0,2.0,13.0,23.0,0.0,23.0,2.0,21.0,5.0,16.0,12.0,4.0,11.0,6.0,2.0,3.0,12.0,16.0,10.0,5.0,5.0,10.0,7.0,10.0,86.0,4.0,4.0,14.0,20.0,6.0,6.0,14.0,7.0,5.0,3.0,9.0,16.0,2.0,8.0,8.0,5.0,42.0,8.0,21.0,10.0,13.0,9.0,3.0,4.0,7.0,10.0,10.0,4.0,5.0,4.0,2.0,2.0,11.0,5.0,11.0,3.0,16.0,7.0,13.0,16.0,13.0,16.0,10.0,6.0,23.0,7.0,13.0,3.0,7.0,13.0,6.0,3.0,7.0,3.0,10.0,3.0,6.0,11.0,7.0,13.0,7.0,8.0,7.0,9.0,7.0,7.0,7.0
17982,4.0,18.0,6.0,3.0,5.0,9.0,4.0,8.0,15.0,2.0,15.0,7.0,15.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,7.0,8.0,11.0,12.0,4.0,5.0,4.0,2.0,3.0,13.0,13.0,8.0,16.0,19.0,9.0,3.0,16.0,4.0,2.0,3.0,21.0,7.0,4.0,3.0,8.0,30.0,9.0,22.0,4.0,10.0,9.0,9.0,8.0,4.0,13.0,7.0,2.0,5.0,3.0,8.0,6.0,4.0,3.0,7.0,9.0,8.0,48.0,12.0,5.0,10.0,15.0,5.0,10.0,3.0,6.0,5.0,2.0,5.0,11.0,6.0,8.0,8.0,13.0,22.0,6.0,19.0,12.0,10.0,7.0,6.0,5.0,6.0,10.0,6.0,1.0,7.0,2.0,2.0,4.0,2.0,4.0,6.0,4.0,10.0,3.0,9.0,20.0,16.0,9.0,2.0,7.0,36.0,5.0,34.0,5.0,9.0,8.0,1.0,5.0,9.0,1.0,13.0,5.0,4.0,14.0,5.0,12.0,6.0,4.0,5.0,2.0,4.0,13.0,12.0
17983,4.0,7.0,6.0,4.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,3.0,2.0,4.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,5.0,2.0,7.0,4.0,2.0,3.0,5.0,2.0,3.0,6.0,6.0,3.0,10.0,9.0,3.0,1.0,10.0,2.0,1.0,1.0,13.0,7.0,6.0,2.0,4.0,18.0,0.0,7.0,5.0,7.0,7.0,5.0,11.0,2.0,4.0,7.0,4.0,6.0,5.0,5.0,8.0,2.0,4.0,8.0,11.0,4.0,40.0,8.0,3.0,11.0,13.0,5.0,3.0,10.0,3.0,3.0,6.0,0.0,8.0,7.0,5.0,9.0,5.0,9.0,5.0,11.0,11.0,4.0,2.0,4.0,10.0,2.0,10.0,4.0,1.0,3.0,3.0,3.0,3.0,5.0,6.0,4.0,3.0,10.0,4.0,2.0,19.0,12.0,3.0,4.0,2.0,4.0,3.0,17.0,1.0,6.0,6.0,2.0,2.0,6.0,2.0,6.0,2.0,3.0,15.0,4.0,9.0,3.0,5.0,2.0,6.0,1.0,5.0,5.0
17984,18.0,11.0,13.0,11.0,12.0,16.0,11.0,8.0,26.0,6.0,13.0,5.0,16.0,4.0,9.0,5.0,4.0,7.0,2.0,2.0,6.0,8.0,8.0,6.0,9.0,5.0,6.0,7.0,16.0,14.0,5.0,10.0,8.0,28.0,14.0,20.0,25.0,12.0,11.0,20.0,15.0,10.0,22.0,9.0,6.0,9.0,19.0,8.0,11.0,2.0,9.0,28.0,14.0,27.0,8.0,21.0,11.0,12.0,13.0,9.0,26.0,9.0,11.0,9.0,6.0,13.0,15.0,4.0,12.0,12.0,11.0,9.0,71.0,13.0,1.0,15.0,22.0,19.0,9.0,18.0,7.0,6.0,18.0,9.0,16.0,6.0,7.0,13.0,28.0,49.0,6.0,50.0,14.0,27.0,7.0,9.0,6.0,6.0,14.0,9.0,4.0,5.0,7.0,6.0,2.0,8.0,9.0,9.0,6.0,15.0,10.0,9.0,29.0,25.0,11.0,11.0,8.0,41.0,9.0,29.0,6.0,10.0,15.0,9.0,11.0,8.0,8.0,21.0,4.0,9.0,26.0,7.0,22.0,6.0,6.0,12.0,5.0,2.0,11.0,24.0
17985,1.0,8.0,9.0,2.0,4.0,10.0,6.0,1.0,6.0,3.0,7.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,5.0,1.0,9.0,3.0,4.0,6.0,3.0,5.0,6.0,15.0,0.0,6.0,7.0,8.0,6.0,1.0,5.0,4.0,13.0,14.0,5.0,3.0,8.0,3.0,5.0,4.0,12.0,2.0,3.0,2.0,2.0,27.0,5.0,19.0,4.0,2.0,6.0,5.0,2.0,3.0,8.0,8.0,5.0,7.0,8.0,4.0,5.0,8.0,3.0,5.0,11.0,8.0,37.0,5.0,0.0,6.0,8.0,2.0,2.0,8.0,4.0,2.0,2.0,5.0,9.0,1.0,0.0,8.0,7.0,9.0,7.0,19.0,13.0,5.0,4.0,4.0,2.0,3.0,9.0,6.0,1.0,0.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,15.0,6.0,7.0,25.0,11.0,4.0,3.0,3.0,13.0,4.0,25.0,5.0,4.0,6.0,3.0,2.0,7.0,2.0,11.0,2.0,4.0,8.0,1.0,18.0,4.0,4.0,1.0,5.0,2.0,6.0,8.0
17988,4.0,15.0,9.0,5.0,10.0,6.0,11.0,6.0,8.0,4.0,14.0,2.0,3.0,4.0,6.0,10.0,3.0,6.0,4.0,6.0,7.0,3.0,3.0,4.0,5.0,2.0,11.0,10.0,13.0,9.0,2.0,4.0,5.0,4.0,6.0,14.0,6.0,4.0,20.0,21.0,11.0,6.0,11.0,4.0,8.0,4.0,7.0,3.0,13.0,1.0,5.0,9.0,5.0,24.0,4.0,10.0,6.0,9.0,7.0,6.0,9.0,5.0,2.0,4.0,8.0,2.0,5.0,7.0,6.0,18.0,16.0,12.0,68.0,7.0,6.0,7.0,18.0,3.0,2.0,6.0,4.0,4.0,4.0,7.0,13.0,3.0,2.0,13.0,12.0,13.0,4.0,13.0,9.0,5.0,6.0,1.0,4.0,8.0,3.0,6.0,10.0,5.0,2.0,3.0,6.0,5.0,11.0,6.0,1.0,20.0,5.0,7.0,23.0,19.0,10.0,5.0,3.0,6.0,3.0,12.0,3.0,10.0,11.0,5.0,4.0,7.0,5.0,16.0,3.0,8.0,23.0,6.0,14.0,10.0,6.0,3.0,8.0,6.0,10.0,3.0
17989,4.0,9.0,5.0,7.0,3.0,11.0,4.0,12.0,19.0,6.0,19.0,3.0,7.0,8.0,7.0,5.0,5.0,11.0,2.0,2.0,2.0,6.0,6.0,4.0,2.0,2.0,6.0,6.0,9.0,18.0,4.0,2.0,10.0,3.0,6.0,16.0,10.0,11.0,15.0,19.0,11.0,13.0,17.0,7.0,8.0,7.0,12.0,6.0,6.0,2.0,9.0,21.0,4.0,9.0,4.0,10.0,10.0,11.0,5.0,4.0,10.0,4.0,9.0,11.0,9.0,4.0,11.0,8.0,6.0,8.0,13.0,11.0,57.0,5.0,8.0,15.0,16.0,11.0,3.0,10.0,3.0,4.0,7.0,4.0,15.0,2.0,9.0,9.0,9.0,16.0,5.0,15.0,12.0,8.0,10.0,6.0,3.0,2.0,4.0,5.0,5.0,8.0,3.0,2.0,7.0,5.0,7.0,7.0,5.0,16.0,5.0,7.0,18.0,27.0,6.0,10.0,5.0,156.0,5.0,30.0,3.0,10.0,12.0,9.0,6.0,9.0,4.0,14.0,1.0,8.0,15.0,5.0,10.0,4.0,17.0,12.0,8.0,3.0,14.0,6.0
